rank,algorithm,family,test_roc_auc,cv_roc_auc_mean,cv_roc_auc_std,test_f1,test_precision,test_recall,test_avg_precision,test_balanced_acc,test_brier_score,threshold,best_params,is_winner
1,RandomForest,Ensemble,0.9017,0.859,0.0169,0.7887,0.7434,0.84,0.8812,0.8305,0.1199,0.415,"{""model__n_estimators"": 200, ""model__min_samples_leaf"": 4, ""model__max_features"": 0.5, ""model__max_depth"": 6}",True
2,GradientBoosting,Ensemble,0.8973,0.8638,0.0084,0.7783,0.7107,0.86,0.8607,0.822,0.1155,0.29,"{""model__subsample"": 0.8, ""model__n_estimators"": 100, ""model__min_samples_leaf"": 4, ""model__max_depth"": 3, ""model__learning_rate"": 0.05}",False
3,ExtraTrees,Ensemble,0.8961,0.8529,0.0208,0.7678,0.7297,0.81,0.8825,0.8124,0.122,0.47,"{""model__n_estimators"": 200, ""model__min_samples_leaf"": 4, ""model__max_features"": ""log2"", ""model__max_depth"": null}",False
4,SVM_RBF,SVM,0.8919,0.8431,0.0229,0.7879,0.7959,0.78,0.8407,0.8283,0.1245,0.49,"{""model__gamma"": 0.01, ""model__C"": 10.0}",False
5,MLP,Neural Net,0.8897,0.85,0.015,0.7876,0.8172,0.76,0.8716,0.8275,0.1186,0.34,"{""model__learning_rate_init"": 0.005, ""model__hidden_layer_sizes"": [64, 64, 32], ""model__alpha"": 0.01, ""model__activation"": ""relu""}",False
6,DecisionTree,Tree,0.8867,0.8345,0.0136,0.7713,0.6992,0.86,0.8357,0.8158,0.1286,0.5,"{""model__min_samples_leaf"": 10, ""model__max_depth"": 3, ""model__criterion"": ""gini""}",False
7,LogisticRegression,Linear,0.8824,0.8464,0.0081,0.7887,0.7434,0.84,0.8457,0.8305,0.133,0.5,"{""model__penalty"": ""l2"", ""model__C"": 1.0}",False
8,RidgeClassifier,Linear,0.8813,0.8466,0.0122,0.7919,0.8041,0.78,0.8495,0.8314,0.1235,0.455,"{""model__estimator__alpha"": 1.0}",False
9,KNN,Instance,0.857,0.8415,0.0168,0.7304,0.6462,0.84,0.8008,0.778,0.1422,0.3,"{""model__weights"": ""distance"", ""model__n_neighbors"": 29, ""model__metric"": ""manhattan""}",False
10,NaiveBayes,Probabilistic,0.8435,0.8249,0.0181,0.7619,0.6718,0.88,0.7319,0.8073,0.1723,0.05,"{""model__var_smoothing"": 0.0018329807108324375}",False
