CRIM,ZN,INDUS,CHAS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO,B,LSTAT,actual_medv,predicted_medv,residual,abs_error,pct_error,error_severity
0.10574,0.0,27.74,0,0.609,5.983,98.8,1.8681,4,711.0,20.1,390.11,18.07,13.6,16.742544751031705,-3.1425447510317053,3.1425447510317053,0.2310694669876254,high
0.22438,0.0,9.69,0,0.585,6.027,79.7,2.4982,6,391.0,19.2,396.9,14.33,16.8,20.783778818909354,-3.9837788189093537,3.9837788189093537,0.23712969160174724,high
4.64689,0.0,18.1,0,0.614,6.98,67.6,2.5329,24,666.0,20.2,374.68,11.66,29.8,23.81909730409831,5.98090269590169,5.98090269590169,0.20070143274837887,severe
0.07978,40.0,6.41,0,0.447,6.482,32.1,4.1403,4,254.0,17.6,396.9,7.19,29.1,23.981668856930234,5.118331143069767,5.118331143069767,0.17588766814672738,high
8.05579,0.0,18.1,0,0.584,5.427,95.4,2.4298,24,666.0,20.2,352.58,18.14,13.8,17.155996405923407,-3.355996405923406,3.355996405923406,0.24318814535676855,high
0.26838,0.0,9.69,0,0.585,5.794,70.6,2.8927,6,391.0,19.2,396.9,14.1,18.3,21.391958041443882,-3.091958041443881,3.091958041443881,0.1689594558166055,high
19.6091,0.0,18.1,0,0.671,7.313,97.9,1.3163,24,666.0,20.2,396.9,13.44,15.0,24.069357789150107,-9.069357789150107,9.069357789150107,0.6046238526100072,severe
4.42228,0.0,18.1,0,0.584,6.003,94.5,2.5403,24,666.0,20.2,331.29,21.32,19.1,15.56368296455712,3.536317035442881,3.536317035442881,0.18514748876664297,high
2.14918,0.0,19.58,0,0.871,5.709,98.5,1.6232,5,403.0,14.7,261.95,15.79,19.4,16.062716026048445,3.3372839739515534,3.3372839739515534,0.17202494711090482,high
0.04932,33.0,2.18,0,0.472,6.849,70.3,3.1827,7,222.0,18.4,396.9,7.53,28.2,31.639260267591613,-3.4392602675916137,3.4392602675916137,0.12195958395714943,high
0.02009,95.0,2.68,0,0.4161,8.034,31.9,5.118,4,224.0,14.7,390.55,2.88,50.0,47.04562343153645,2.9543765684635517,2.9543765684635517,0.059087531369271036,high
1.15172,0.0,8.14,0,0.538,5.701,95.0,3.7872,4,307.0,21.0,358.77,18.35,13.1,16.004722811831076,-2.9047228118310766,2.9047228118310766,0.22173456578863182,high
0.00632,18.0,2.31,0,0.538,6.575,65.2,4.09,1,296.0,15.3,396.9,4.98,24.0,27.22376589295325,-3.2237658929532493,3.2237658929532493,0.13432357887305205,high
0.11747,12.5,7.87,0,0.524,6.009,82.9,6.2267,5,311.0,15.2,396.9,13.27,18.9,21.764317113541278,-2.8643171135412793,2.8643171135412793,0.15155117002863913,high
0.5405,20.0,3.97,0,0.575,7.47,52.6,2.872,5,264.0,13.0,390.3,3.16,43.5,49.722687823453505,-6.222687823453505,6.222687823453505,0.1430502947920346,severe
5.66637,0.0,18.1,0,0.74,6.219,100.0,2.0048,24,666.0,20.2,395.69,16.59,18.4,15.600129189160436,2.799870810839563,2.799870810839563,0.15216689189345453,high
0.03502,80.0,4.95,0,0.411,6.861,27.9,5.1167,4,245.0,19.2,396.9,3.33,28.5,32.74256810327233,-4.242568103272333,4.242568103272333,0.14886203871130993,high
0.05059,0.0,4.49,0,0.449,6.389,48.0,4.7794,3,247.0,18.5,396.9,9.62,23.9,21.061565544172808,2.8384344558271906,2.8384344558271906,0.11876294794256029,high
0.02763,75.0,2.95,0,0.428,6.595,21.8,5.4011,3,252.0,18.3,395.63,4.32,30.8,26.802442983926234,3.997557016073767,3.997557016073767,0.12979081221018723,high
4.66883,0.0,18.1,0,0.713,5.976,87.9,2.5806,24,666.0,20.2,10.48,19.01,12.7,16.44346503634741,-3.743465036347409,3.743465036347409,0.294761026484048,high
0.18337,0.0,27.74,0,0.609,5.414,98.3,1.7554,4,711.0,20.1,344.05,23.97,7.0,13.171132628682969,-6.171132628682969,6.171132628682969,0.8815903755261384,severe
7.40389,0.0,18.1,0,0.597,5.617,97.9,1.4547,24,666.0,20.2,314.64,26.4,17.2,13.968938533350787,3.231061466649212,3.231061466649212,0.18785241085169838,high
25.9406,0.0,18.1,0,0.679,5.304,89.1,1.6475,24,666.0,20.2,127.36,26.64,10.4,7.58684232335551,2.81315767664449,2.81315767664449,0.2704959304465856,high
4.55587,0.0,18.1,0,0.718,3.561,87.9,1.6132,24,666.0,20.2,354.7,7.12,27.5,19.5976947161981,7.902305283801901,7.902305283801901,0.2873565557746146,severe
0.59005,0.0,21.89,0,0.624,6.372,97.9,2.3274,4,437.0,21.2,385.76,11.12,23.0,19.773933003983014,3.2260669960169857,3.2260669960169857,0.14026378243552112,high
9.2323,0.0,18.1,0,0.631,6.216,100.0,1.1691,24,666.0,20.2,366.15,9.53,50.0,42.409940560285115,7.590059439714885,7.590059439714885,0.15180118879429771,severe
18.811,0.0,18.1,0,0.597,4.628,100.0,1.5539,24,666.0,20.2,28.79,34.37,17.9,9.285347730703094,8.614652269296904,8.614652269296904,0.481265489904855,severe
