,CRIM,ZN,INDUS,NOX,RM,AGE,DIS,TAX,PTRATIO,B,LSTAT,MEDV
CRIM,1.0,-0.19885507847495235,0.4001983321208884,0.3964059594018457,-0.2003032079024357,0.33408990747865747,-0.3664868892400508,0.5768944123477867,0.2889695674395749,-0.35685783082491535,0.4141417188213106,-0.3800910595056211
ZN,-0.19885507847495235,1.0,-0.5334890996145811,-0.5264136041793029,0.27466061741112574,-0.5750784120364023,0.6818167170078957,-0.2942670236444805,-0.3891631488774382,0.1786521420228481,-0.3965718286792371,0.30950359690653284
INDUS,0.4001983321208884,-0.5334890996145811,1.0,0.7709570000478178,-0.3986902826059419,0.6365689054777054,-0.7075660233762817,0.702353321964557,0.34830321033798567,-0.3631511042920827,0.603643770471482,-0.47054636847906856
NOX,0.3964059594018457,-0.5264136041793029,0.7709570000478178,1.0,-0.2996149403618068,0.7204172465094187,-0.7723302876930545,0.6502467305812805,0.1612526996271143,-0.36803373221517593,0.5938615069624925,-0.41576797871820353
RM,-0.2003032079024357,0.27466061741112574,-0.3986902826059419,-0.2996149403618068,1.0,-0.21086328518693406,0.19829937191482447,-0.2811268669437979,-0.3426426752537728,0.11334742687761581,-0.6125767437756624,0.7106798402076915
AGE,0.33408990747865747,-0.5750784120364023,0.6365689054777054,0.7204172465094187,-0.21086328518693406,1.0,-0.7565888710989643,0.47166968073669435,0.24084147977542875,-0.2651858570820949,0.5710510939715538,-0.3402162846627757
DIS,-0.3664868892400508,0.6818167170078957,-0.7075660233762817,-0.7723302876930545,0.19829937191482447,-0.7565888710989643,1.0,-0.5235768036846311,-0.2175875228001367,0.2911218415822774,-0.4949213978893846,0.2351139133175565
TAX,0.5768944123477867,-0.2942670236444805,0.702353321964557,0.6502467305812805,-0.2811268669437979,0.47166968073669435,-0.5235768036846311,1.0,0.444836495988234,-0.4420267778787647,0.5306319218572316,-0.45979478655480904
PTRATIO,0.2889695674395749,-0.3891631488774382,0.34830321033798567,0.1612526996271143,-0.3426426752537728,0.24084147977542875,-0.2175875228001367,0.444836495988234,1.0,-0.17395764312294434,0.36016652690980366,-0.49120996584430987
B,-0.35685783082491535,0.1786521420228481,-0.3631511042920827,-0.36803373221517593,0.11334742687761581,-0.2651858570820949,0.2911218415822774,-0.4420267778787647,-0.17395764312294434,1.0,-0.3408727189000624,0.33991770242735336
LSTAT,0.4141417188213106,-0.3965718286792371,0.603643770471482,0.5938615069624925,-0.6125767437756624,0.5710510939715538,-0.4949213978893846,0.5306319218572316,0.36016652690980366,-0.3408727189000624,1.0,-0.7364224830077849
MEDV,-0.3800910595056211,0.30950359690653284,-0.47054636847906856,-0.41576797871820353,0.7106798402076915,-0.3402162846627757,0.2351139133175565,-0.45979478655480904,-0.49120996584430987,0.33991770242735336,-0.7364224830077849,1.0
