feature,importance,coefficient
num__log_lstat,0.2870795376428627,
num__LSTAT,0.24995692992406207,
num__rm_squared,0.13509182861053698,
num__RM,0.09618514620609324,
num__nox_dis,0.0386986142217457,
num__tax_ptratio,0.03066909787016512,
num__NOX,0.02546444916135294,
num__DIS,0.022003244640780722,
num__CRIM,0.019710089665627532,
num__PTRATIO,0.01683043915352562,
num__log_dis,0.0165886218164273,
num__age_dis,0.01540107144524032,
num__log_crim,0.012836281733323528,
num__TAX,0.012499374709519475,
num__B,0.011424294780061297,
num__INDUS,0.008491661617283337,
num__near_employment,0.0010693168013920411,
