feature,mean_abs_shap
num__log_lstat,2.0395777133137627
num__LSTAT,1.6693815307543272
num__rm_squared,1.1965588327789456
num__RM,1.0147084963507274
num__tax_ptratio,0.6621586840998835
num__NOX,0.5707296968225734
num__PTRATIO,0.4768679423136426
num__age_dis,0.41541980749419155
num__nox_dis,0.33673061188785397
num__log_crim,0.28428471090561575
num__B,0.2794011334828571
num__log_dis,0.21793423024836972
num__DIS,0.1903123179089818
num__CRIM,0.18612674658898015
num__INDUS,0.1361319635123009
num__TAX,0.08364737028870306
num__near_employment,0.009655278742423229
