group_column,group_value,n,rmse,r2,mae,rmse_gap,alert
income_tier,low,499,86003.1342,-0.342,41322.9084,16064.147,False
income_tier,mid,2066,75151.6714,0.2188,40996.8417,5212.6842,False
income_tier,high,1111,56469.0508,0.6532,40052.8573,-13469.9364,False
income_tier,very_high,452,53424.2494,0.7375,38800.071,-16514.7378,False
house_age_group,new,636,61942.6409,0.6036,37490.8142,-7996.3463,False
house_age_group,mid,1569,69650.7304,0.611,40919.1001,-288.2568,False
house_age_group,old,1491,73983.7634,0.5883,40897.5797,4044.7763,False
house_age_group,very_old,432,67683.0161,0.7409,42433.9019,-2255.9711,False
geo_cluster,0,169,55294.611,0.8002,37771.608,-14644.3762,False
geo_cluster,1,19,62831.7865,0.6514,44853.7187,-7107.2007,False
geo_cluster,12,271,92253.9313,0.3583,53346.3922,22314.9441,True
geo_cluster,16,99,49805.3794,0.7777,31244.5511,-20133.6078,False
geo_cluster,19,71,42286.3595,0.8803,30170.4689,-27652.6277,False
geo_cluster,2,38,40255.8722,0.8805,26281.7851,-29683.115,False
geo_cluster,4,30,45402.7206,0.8675,32735.6035,-24536.2666,False
geo_cluster,5,39,39607.3759,0.8629,31783.5436,-30331.6113,False
geo_cluster,8,25,48265.6315,0.7546,33263.2758,-21673.3557,False
