,Longitude,Latitude,HouseAge,AveRooms,AveBedrms,Population,AveOccup,MedInc,ocean_proximity,median_house_value
Longitude,1.0,-0.9244852138892334,-0.10181786925668862,0.038675941725764044,0.06306442252642831,0.09427607422680952,0.04930643124157805,-0.017039746172668273,,-0.04634888300866204
Latitude,-0.9244852138892334,1.0,0.005295692561315846,-0.029223616804632483,-0.059998406928921444,-0.10249867966061812,-0.06406052751641199,-0.07657113425907039,,-0.14298334973669877
HouseAge,-0.10181786925668862,0.005295692561315846,1.0,-0.36092158265360536,-0.3206235491813914,-0.29228311364451776,-0.3027956821920684,-0.12171106912256989,,0.1037063240371069
AveRooms,0.038675941725764044,-0.029223616804632483,-0.36092158265360536,1.0,0.9304892875010856,0.857935737624464,0.9204816176035043,0.19826770973744673,,0.13398895214332068
AveBedrms,0.06306442252642831,-0.059998406928921444,-0.3206235491813914,0.9304892875010856,1.0,0.878932393950621,0.9802545152967752,-0.00914114585686427,,0.04798040132661901
Population,0.09427607422680952,-0.10249867966061812,-0.29228311364451776,0.857935737624464,0.878932393950621,1.0,0.9074517390523991,0.004122441172050406,,-0.026032386668518554
AveOccup,0.04930643124157805,-0.06406052751641199,-0.3027956821920684,0.9204816176035043,0.9802545152967752,0.9074517390523991,1.0,0.012776056138485321,,0.06371448904058427
MedInc,-0.017039746172668273,-0.07657113425907039,-0.12171106912256989,0.19826770973744673,-0.00914114585686427,0.004122441172050406,0.012776056138485321,1.0,,0.6906466061467701
ocean_proximity,,,,,,,,,,
median_house_value,-0.04634888300866204,-0.14298334973669877,0.1037063240371069,0.13398895214332068,0.04798040132661901,-0.026032386668518554,0.06371448904058427,0.6906466061467701,,1.0
