,count,mean,std,min,25%,50%,75%,max
Longitude,16512.0,-119.58229045542636,2.0056535406966307,-124.35,-121.81,-118.51,-118.01,-114.31
Latitude,16512.0,35.6431492248062,2.136665296399592,32.55,33.93,34.26,37.72,41.95
HouseAge,16512.0,28.60828488372093,12.602499352253918,1.0,18.0,29.0,37.0,52.0
AveRooms,16512.0,2642.0047843992247,2174.646743636786,2.0,1454.0,2129.0,3160.0,39320.0
AveBedrms,16512.0,538.4968507751938,419.0070958700484,1.0,296.75,437.0,647.0,6445.0
Population,16512.0,1426.453003875969,1137.056379781029,3.0,789.0,1167.0,1726.0,35682.0
AveOccup,16512.0,499.9869186046512,380.96796387145355,1.0,280.0,410.0,606.0,6082.0
MedInc,16512.0,3.88075425750969,1.9042939225591973,0.4999,2.5667,3.5458,4.773175,15.0001
ocean_proximity,0.0,,,,,,,
median_house_value,16512.0,207194.6937378876,115622.62644809148,14999.0,119800.0,179850.0,265125.0,500001.0
