feature,ridge_coef,lasso_coef,enet_coef,lasso_zeroed
Longitude,-82401.27280316455,-84025.25046031644,-82170.26937391053,False
log_Population,-66087.84163818839,-66362.16607127702,-65682.98061281758,False
Latitude,-50341.18731319522,-52396.905704563535,-50265.65032780208,False
MedInc,45845.84051020071,47670.848232950004,46034.4122304055,False
log_AveOccup,38897.345845030235,39055.85385861725,38126.07221599501,False
dist_SAC,37296.22772436788,33209.62043691066,37084.36636511157,False
log_AveRooms,35927.6690821794,28140.676410966735,33998.60119873574,False
AveRooms,-34109.96049148204,-29742.41145150333,-33273.75812933121,False
dist_LA,-25732.20141211334,-25426.078924022662,-25671.778773235837,False
dist_SF,-23496.708781087014,-19515.28405379261,-23392.2919631818,False
medinc_rooms_interact,22128.480162554384,20290.19190197383,21821.876467166196,False
bedrooms_ratio,21515.447972112714,19935.904628597214,21132.666860546822,False
log_MedInc,18349.861481287982,17595.12776540169,18390.098102088366,False
AveBedrms,16678.602959785214,14214.629638680359,15761.465119588212,False
medinc_age_interact,11815.635474777999,11664.569612507348,11834.758718158779,False
log_AveBedrms,-7779.908045570755,0.0,-5521.397383628949,True
HouseAge,5083.223206267576,5188.229289890147,5098.98555445574,False
AveOccup,4993.080113022375,4012.8351439374596,5597.982899879426,False
rooms_per_person,3044.0921120361672,2949.6727140381963,3005.0143274809284,False
geo_cluster,-1422.1851472914045,-1457.862592873575,-1433.0185539242075,False
income_per_room,-1239.671951651199,-1259.8043953598694,-1261.5526431578248,False
Population,-799.1600097969218,-333.27809324366734,-1098.8209439925247,False
