feature,importance,coefficient
Qual_x_Area,0.36454436893545095,
Qual_x_Year,0.21166996988534872,
TotalSF,0.18314841351755526,
TotalBaths,0.025870719228707,
GarageCars,0.0218670522689226,
LotArea,0.02029904217464247,
OverallCond,0.018854438846833618,
KitchenQual_ord,0.01813016684261582,
BsmtFinSF1,0.014475759160144512,
YearRemodAdd,0.012644652683280704,
TotalBsmtSF,0.00878426920832777,
1stFlrSF,0.00809693958149795,
FireplaceQu_ord,0.006825943704609925,
GarageArea,0.006303343602162061,
AgeAtSale,0.005237766076082851,
BsmtQual_ord,0.005214822368620205,
MSZoning_RM,0.004324594807264921,
CentralAir_N,0.0037840172480064016,
BsmtUnfSF,0.0029033042392486706,
CentralAir_Y,0.002887875806000094,
TotalPorchSF,0.0027867402724684274,
YearBuilt,0.002716782822501052,
HeatingQC_ord,0.002592196229559922,
Fireplaces,0.0024991623443211923,
GarageYrBlt,0.002455430274764534,
MSZoning_'C (all)',0.0021406799694445207,
MSZoning_RL,0.0021310812364389964,
LotFrontage,0.0020362965368270793,
EnclosedPorch,0.001919539737964474,
Exterior1st_BrkFace,0.001809368222341695,
MoSold,0.001781476740174575,
ExterQual_ord,0.0016360186209953595,
Neighborhood_OldTown,0.0015300922600507898,
Neighborhood_Crawfor,0.001519147450871197,
Functional_Typ,0.0014843108240610548,
GrLivArea_sq,0.0014200040155399306,
Condition1_Norm,0.001354348105760838,
SaleCondition_Family,0.0013399660933205667,
GarageFinish_Unf,0.0013097466872495586,
GarageQual_ord,0.0011681944066326579,
SaleCondition_Abnorml,0.0011019522360759667,
MasVnrArea,0.001087654166684652,
GrLivArea,0.0010842761541094367,
GarageCond_ord,0.0010319336682080562,
OpenPorchSF,0.001028008518495021,
OverallQual,0.0010001202175156149,
Neighborhood_Edwards,0.0009754375429841499,
ExterCond_ord,0.0009274572535274811,
Exterior2nd_'Brk Cmn',0.0008746957643684016,
YrSold,0.0006548270290724324,
LotConfig_CulDSac,0.0005974972904726646,
PavedDrive_Y,0.0005623924563412513,
BsmtFinSF2,0.0005146120315890905,
2ndFlrSF,0.0004995362522181783,
HalfBath,0.00044444040320889454,
Functional_infrequent_sklearn,0.0003893438073648114,
BedroomAbvGr,0.0003719062282443209,
TotRmsAbvGrd,0.00034972619795277675,
BsmtFullBath,0.00026567888687331116,
Exterior1st_'Wd Sdng',0.0002628791829865697,
LotConfig_Inside,0.0002441210873617646,
WoodDeckSF,0.00023554706404720554,
SaleCondition_Normal,0.00020665483356181583,
Neighborhood_Somerst,0.00018288651641481033,
Fence_ord,0.00018137906141145495,
BsmtCond_ord,0.00016540677848809877,
FullBath,0.0001619574949748253,
SaleType_WD,0.0001328734257660804,
Alley_None,0.00010600349626315035,
Foundation_BrkTil,0.00010119554617144013,
RoofStyle_Gable,9.632494819946481e-05,
LandContour_Lvl,7.804284043609616e-05,
Exterior1st_VinylSd,6.832817658006364e-05,
Foundation_CBlock,6.232511717078474e-05,
HouseStyle_1Story,5.38424326798953e-05,
LandSlope_Gtl,5.1080769623891085e-05,
BldgType_1Fam,5.036534389762384e-05,
GarageFinish_RFn,4.6942217309357357e-05,
HouseStyle_1.5Fin,4.150871720004334e-05,
MasVnrType_None,3.2513982147622886e-05,
Has2ndFloor,2.971231650146125e-05,
Neighborhood_NAmes,2.8735761682333473e-05,
RoofStyle_Hip,2.8427642536013603e-05,
GarageType_Detchd,2.3686202304846635e-05,
GarageFinish_Fin,2.1254848778818135e-05,
PavedDrive_N,1.6602104288754053e-05,
HouseStyle_2Story,1.6470452868125487e-05,
GarageType_Attchd,1.3273328909193204e-05,
Exterior2nd_BrkFace,1.1916752072192832e-07,
Neighborhood_ClearCr,0.0,
Foundation_PConc,0.0,
Exterior2nd_VinylSd,0.0,
HighQuality,0.0,
