,usr
freeswap,0.6833182310156226
runqsz,-0.6267390736410849
vflt,-0.41449984437515286
pflt,-0.36367363805145725
fork,-0.35721751586297895
rchar,-0.3260482601023447
scall,-0.31780343267351385
sread,-0.3149028253552696
wchar,-0.2935685264713995
exec,-0.2828856762322794
freemem,0.26881478570285394
swrite,-0.259036766183353
pgin,-0.24199983823834056
ppgin,-0.23554463042595442
pgout,-0.22169148922772527
pgfree,-0.21718714644015497
ppgout,-0.21135172609572006
pgscan,-0.18292129676335678
lread,-0.1378261546489075
atch,-0.11479493606250388
lwrite,-0.10582477793025052
