feature,importance,coefficient
freeswap,0.19234435416314793,
runqsz_sq,0.15965544524909367,
runqsz,0.14688540974947226,
log_freeswap,0.14494051639525365,
log_runqsz,0.14348784683455726,
log_vflt,0.08500727196074165,
vflt,0.07983372028432269,
scall,0.009753298676866315,
log_scall,0.009724674786477747,
pflt_vflt_interact,0.00531375059671952,
log_swrite,0.004750509037498362,
log_ppgin,0.004668844562797199,
memory_pressure,0.004053097420593888,
sread,0.0023667886143937814,
log_pgin,0.001991833849663066,
log_exec,0.0019380819405959144,
log_sread,0.0016577461520890817,
pflt,0.0005605745762639235,
log_pflt,0.0005601546835800852,
fork,0.00025636220743310476,
log_fork,0.0002497182584389607,
