feature,mean_abs_shap
log_vflt,2.2380180759966803
vflt,2.1274650156873256
freeswap,1.3813734151301673
runqsz_sq,1.1519872466115477
runqsz,1.063554393701223
log_freeswap,1.0426215053150563
log_runqsz,1.0317480041693867
log_scall,0.7541363550252533
scall,0.7510087735322243
log_swrite,0.4827485507657844
log_ppgin,0.4715933954097442
pflt_vflt_interact,0.2898408925846328
memory_pressure,0.26380600311784524
log_pgin,0.22922220291049958
sread,0.2125152323104528
log_exec,0.2025899301004711
log_sread,0.1637508525753571
pflt,0.06328005575900492
log_pflt,0.06084758162300262
fork,0.017061665477459558
log_fork,0.015692346481826536
