feature,vif,alert
vflt,18.657992712685495,True
fork,18.108300692834007,True
ppgout,14.829810961923668,True
pflt,11.221867102728702,True
pgfree,8.282194703424869,False
ppgin,7.839984077073759,False
pgin,7.417148075243636,False
sread,6.965340266610413,False
swrite,5.472608843204494,False
pgout,5.164932468616697,False
exec,3.148749719840494,False
scall,2.4394495433131267,False
freeswap,2.198562078206494,False
rchar,2.0044426337726557,False
freemem,1.6853651390245967,False
wchar,1.5994203241351697,False
lread,1.5328028847277562,False
lwrite,1.4553390101835615,False
runqsz,1.375959333981454,False
