feature,importance,coefficient
cat__title_Mr,0.2082252095391592,
cat__sex_male,0.1215190413208764,
num__fare_per_person,0.11967727300049805,
cat__sex_female,0.11702708343135529,
num__age,0.10831767113955831,
num__fare,0.10273065026623787,
cat__pclass_3,0.06149935565305362,
num__family_size,0.041913766918263935,
num__sibsp,0.01873863178635754,
cat__cabin_deck_Unknown,0.014002167949380737,
cat__embarked_C,0.0138628175205674,
num__has_cabin,0.013174679236933143,
cat__ticket_prefix_NO_PREFIX,0.01027093362849257,
num__home_dest_known,0.009356104925458887,
cat__title_Master,0.006664055777449558,
cat__embarked_S,0.006662736071178469,
num__missingindicator_age,0.006346794602639163,
num__parch,0.00533393589190288,
cat__pclass_1,0.00437387457791446,
cat__title_Mrs,0.0037408943845685847,
cat__title_Miss,0.0027492594934645995,
cat__pclass_2,0.0020148992199986743,
num__is_alone,0.0017981636646906955,
