,LogisticRegression,RidgeClassifier,KNN,NaiveBayes,DecisionTree,RandomForest,ExtraTrees,GradientBoosting,SVM_RBF,MLP
LogisticRegression,1.0,1.0,0.625,0.0625,0.125,0.125,0.625,0.0625,0.8125,0.625
RidgeClassifier,1.0,1.0,0.625,0.125,0.0625,0.0625,0.4375,0.125,1.0,0.625
KNN,0.625,0.625,1.0,0.125,0.3125,0.125,0.0625,0.125,1.0,0.3125
NaiveBayes,0.0625,0.125,0.125,1.0,0.4375,0.0625,0.0625,0.0625,0.3125,0.0625
DecisionTree,0.125,0.0625,0.3125,0.4375,1.0,0.0625,0.125,0.0625,0.1875,0.1875
RandomForest,0.125,0.0625,0.125,0.0625,0.0625,1.0,0.4375,0.8125,0.1875,0.125
ExtraTrees,0.625,0.4375,0.0625,0.0625,0.125,0.4375,1.0,0.3125,0.4375,1.0
GradientBoosting,0.0625,0.125,0.125,0.0625,0.0625,0.8125,0.3125,1.0,0.125,0.0625
SVM_RBF,0.8125,1.0,1.0,0.3125,0.1875,0.1875,0.4375,0.125,1.0,0.8125
MLP,0.625,0.625,0.3125,0.0625,0.1875,0.125,1.0,0.0625,0.8125,1.0
