model,train_rmse_mean,cv_rmse_mean,cv_rmse_std,train_mae_mean,cv_mae_mean,train_r2_mean,cv_r2_mean,generalization_gap_rmse,fit_time_mean
huber_robust,52.49245112957964,55.31810448314107,2.3471110536986335,41.89750513986137,44.69451130364609,0.545584975458529,0.4919165200961899,2.825653353561428,0.006643374760945638
ridge,52.69529607572,55.461508955840145,1.5769780943072176,42.73444371212736,44.97445458753407,0.5420174396962166,0.4885490661853349,2.7662128801201433,0.0030543009440104165
elastic_net,52.620515778476204,55.48223312636828,1.6823940587375672,42.643266617489786,45.00776885800574,0.5433246396444825,0.4882516674740736,2.8617173478920748,0.002469221750895182
lasso,52.54179643162928,55.57499501491802,1.8819954431232981,42.56178785375227,45.04190451525639,0.5446999181198814,0.486752756750682,3.033198583288737,0.0027321974436442056
linear_regression,52.538828099599094,55.64302516714864,1.9431735601228615,42.55537817258701,45.066107114214894,0.5447516851393658,0.4855333750380008,3.104197067549549,0.004823128382364909
random_forest,39.84233603967772,57.38693165468479,2.857079147242358,32.75825184763662,47.9464413928961,0.7382841149321863,0.4537023922770495,17.54459561500707,0.12761942545572916
extra_trees,48.00443355186362,58.15075230431241,2.2432271792951024,40.16387579914866,48.823707392880785,0.6199296216174153,0.4386843272479201,10.146318752448792,0.07568995157877605
hist_gradient_boosting,20.60355846917652,59.86623552876562,2.213899520081264,16.13567922682499,47.57253816960769,0.9299897142205196,0.40486920153617795,39.2626770595891,0.38721903165181476
ridge_interactions,46.93277758215718,60.37918760444506,3.2789608994719064,37.05153666365246,48.58265642920361,0.6368588963553843,0.39559330560210687,13.446410022287878,0.004691918690999349
ridge_splines,59.71405481436485,61.289095470800724,2.4368074563844764,50.76718276405967,52.028705365331795,0.4119278185403156,0.3765195495055828,1.575040656435874,0.0032259623209635415
dummy_mean,77.87642218879019,78.20184826172958,3.0274698874700494,66.37680646066445,66.66930648921273,0.0,-0.015086070221237202,0.3254260729393934,0.00022602081298828125
