feature,importance,coefficient
num__s1,127.89866237352456,-127.89866237352456
num__s2,101.47054035716093,101.47054035716093
num__s5,50.71584682160054,50.71584682160054
num__bmi,33.660143478138444,33.660143478138444
num__s1_minus_s2,29.3325247554648,29.3325247554648
num__sex,27.388388546538106,-27.388388546538106
num__bp,25.53656378749441,25.53656378749441
num__s4,16.61975569474229,16.61975569474229
num__bmi_x_bp,5.505524187371349,5.505524187371349
num__s3,5.013423975790633,5.013423975790633
num__s3_x_s4,2.861365440026491,-2.861365440026491
num__age,2.6036206916840845,2.6036206916840845
num__bmi_x_s5,1.6062810209145268,1.6062810209145268
num__s6,1.4886621298644438,1.4886621298644438
