,count,mean,std,min,25%,50%,75%,max
age,353.0,0.0014418076072781566,0.04633406420048097,-0.1072256316073538,-0.030942324135945967,0.009015598825267658,0.038075906433423026,0.11072667545381144
sex,353.0,0.0001838914560989261,0.047643997552882095,-0.044641636506989144,-0.044641636506989144,-0.044641636506989144,0.05068011873981862,0.05068011873981862
bmi,353.0,0.001735658340578064,0.04727527623016162,-0.08919748382462865,-0.0320734439089463,-0.0051281420619263066,0.032595280523901676,0.16085491731571683
bp,353.0,0.001179388181345877,0.04846871742960132,-0.11239880254408448,-0.03665608107540074,-0.00567042229275739,0.03564378941743375,0.13204361674121307
s1,353.0,-0.000555510122952631,0.04778580939518049,-0.10889328275989867,-0.035967781275239266,-0.004320865536613489,0.02595009734381117,0.15391371315651542
s2,353.0,-0.0008060091702002829,0.04763120417675653,-0.11561306597939897,-0.03262872360517222,-0.004132213582324539,0.02718263259662897,0.19878798965729408
s3,353.0,-0.0009890039230743529,0.04704366386588295,-0.10230705051741597,-0.03235593223976409,-0.006584467611155497,0.026550272625626974,0.18117906039727852
s4,353.0,0.00037655339239984847,0.04778996801015622,-0.0763945037500033,-0.03949338287409329,-0.002592261998183278,0.03430885887772673,0.18523444326019867
s5,353.0,0.0012160592233007204,0.04782825216674543,-0.12609712083330468,-0.03324559264822791,-0.0006117353045626216,0.033653814906286016,0.13359728192191356
s6,353.0,0.0018910080220641097,0.048380305745877476,-0.13776722569000302,-0.03007244590430716,0.0030644094143684884,0.03205915781820968,0.13561183068907107
target,353.0,153.73654390934846,78.0619017660964,25.0,86.0,142.0,214.0,346.0
