alpha,feature,coefficient
0.0001,age,2.5844718507274638
0.0001,sex,-11.94734449989419
0.0001,bmi,24.464134876761605
0.0001,bp,15.655203459244571
0.0001,s1,-10.647897932882618
0.0001,s2,-3.21615611623563
0.0001,s3,1.3107100756108951
0.0001,s4,3.561834353676372
0.0001,s5,37.03644414602091
0.0001,s6,2.1934031411914363
0.0001,bmi_x_bp,6.762053265287886
0.0001,bmi_x_s5,1.371423740504564
0.0001,s1_minus_s2,-15.969424866959866
0.0001,s3_x_s4,-4.324702584936247
0.00013141473626117567,age,2.5844721496096343
0.00013141473626117567,sex,-11.947343212065437
0.00013141473626117567,bmi,24.464135905384758
0.00013141473626117567,bp,15.655202086557887
0.00013141473626117567,s1,-10.647872741666744
0.00013141473626117567,s2,-3.2161518388014247
0.00013141473626117567,s3,1.3106524649609403
0.00013141473626117567,s4,3.5618131804078703
0.00013141473626117567,s5,37.03639492539876
0.00013141473626117567,s6,2.193405562053872
0.00013141473626117567,bmi_x_bp,6.762053922150538
0.00013141473626117567,bmi_x_s5,1.3714198565134827
0.00013141473626117567,s1_minus_s2,-15.969380025678667
0.00013141473626117567,s3_x_s4,-4.324706273488503
0.00017269832906594343,age,2.5844725423856434
0.00017269832906594343,sex,-11.947341519670312
0.00017269832906594343,bmi,24.464137257125895
0.00017269832906594343,bp,15.655200282652613
0.00017269832906594343,s1,-10.647839651876945
0.00017269832906594343,s2,-3.216146202924528
0.00017269832906594343,s3,1.310576756870112
0.00017269832906594343,s4,3.561785356157482
0.00017269832906594343,s5,37.03633024264747
0.00017269832906594343,s6,2.1934087434154104
0.00017269832906594343,bmi_x_bp,6.762054785352539
0.00017269832906594343,bmi_x_s5,1.3714147524146587
0.00017269832906594343,s1_minus_s2,-15.969321091111208
0.00017269832906594343,s3_x_s4,-4.32471112064753
0.00022695105366946685,age,2.58447305855259
0.00022695105366946685,sex,-11.94733929561656
0.00022695105366946685,bmi,24.46413903347611
0.00022695105366946685,bp,15.655197912067928
0.00022695105366946685,s1,-10.647796170610464
0.00022695105366946685,s2,-3.21613879371811
0.00022695105366946685,s3,1.3104772666523636
0.00022695105366946685,s4,3.5617487919333737
0.00022695105366946685,s5,37.036245240670716
0.00022695105366946685,s6,2.1934129241787157
0.00022695105366946685,bmi_x_bp,6.762055919705884
0.00022695105366946685,bmi_x_s5,1.3714080449419879
0.00022695105366946685,s1_minus_s2,-15.969243641694804
0.00022695105366946685,s3_x_s4,-4.324717490283032
0.0002982471286216891,age,2.584473736874419
0.0002982471286216891,sex,-11.947336372887062
0.0002982471286216891,bmi,24.46414136779853
0.0002982471286216891,bp,15.655194796792149
0.0002982471286216891,s1,-10.64773903033765
0.0002982471286216891,s2,-3.216129057703769
0.0002982471286216891,s3,1.3103465242109151
0.0002982471286216891,s4,3.5617007427795944
0.0002982471286216891,s5,37.03613353673921
0.0002982471286216891,s6,2.193418418292581
0.0002982471286216891,bmi_x_bp,6.762057410376588
0.0002982471286216891,bmi_x_s5,1.3713992304472906
0.0002982471286216891,s1_minus_s2,-15.969141863172487
0.0002982471286216891,s3_x_s4,-4.324725860498446
0.0003919406774847221,age,2.584474628293392
0.0003919406774847221,sex,-11.947332531998237
0.0003919406774847221,bmi,24.464144435332436
0.0003919406774847221,bp,15.655190702898425
0.0003919406774847221,s1,-10.647663939077203
0.0003919406774847221,s2,-3.21611626589703
0.0003919406774847221,s3,1.3101747134615565
0.0003919406774847221,s4,3.561637601916836
0.0003919406774847221,s5,37.03598674337052
0.0003919406774847221,s6,2.1934256383243547
0.0003919406774847221,bmi_x_bp,6.762059369274098
0.0003919406774847221,bmi_x_s5,1.3713876470971418
0.0003919406774847221,s1_minus_s2,-15.969008114315313
0.0003919406774847221,s3_x_s4,-4.324736859462288
0.0005150678076168122,age,2.584475799756427
0.0005150678076168122,sex,-11.947327484518878
0.0005150678076168122,bmi,24.464148466334485
0.0005150678076168122,bp,15.655185322983959
0.0005150678076168122,s1,-10.647565265898645
0.0005150678076168122,s2,-3.216099451652941
0.0005150678076168122,s3,1.3099489358742544
0.0005150678076168122,s4,3.5615546303647907
0.0005150678076168122,s5,37.03579383880735
0.0005150678076168122,s6,2.193435126434913
0.0005150678076168122,bmi_x_bp,6.762061943444465
0.0005150678076168122,bmi_x_s5,1.3713724252045847
0.0005150678076168122,s1_minus_s2,-15.968832349938902
0.0005150678076168122,s3_x_s4,-4.3247513124562085
0.0006768750009458535,age,2.5844773392438087
0.0006768750009458535,sex,-11.947320851412334
0.0006768750009458535,bmi,24.464153763337915
0.0006768750009458535,bp,15.655178253096036
0.0006768750009458535,s1,-10.647435600113438
0.0006768750009458535,s2,-3.216077356616738
0.0006768750009458535,s3,1.3096522430371487
0.0006768750009458535,s4,3.5614456018866774
0.0006768750009458535,s5,37.035540339923365
0.0006768750009458535,s6,2.193447595080656
0.0006768750009458535,bmi_x_bp,6.762065326094388
0.0006768750009458535,bmi_x_s5,1.3713524219756534
0.0006768750009458535,s1_minus_s2,-15.968601375750309
0.0006768750009458535,s3_x_s4,-4.324770303635028
0.0008895134973108237,age,2.5844793623783704
0.0008895134973108237,sex,-11.94731213457627
0.0008895134973108237,bmi,24.464160723815844
0.0008895134973108237,bp,15.655168962415756
0.0008895134973108237,s1,-10.647265209061006
0.0008895134973108237,s2,-3.216048323103903
0.0008895134973108237,s3,1.3092623659671658
0.0008895134973108237,s4,3.5613023368501344
0.0008895134973108237,s5,37.03520721563454
0.0008895134973108237,s6,2.1934639804945464
0.0008895134973108237,bmi_x_bp,6.762069771067978
0.0008895134973108237,bmi_x_s5,1.3713261357884747
0.0008895134973108237,s1_minus_s2,-15.968297852297285
0.0008895134973108237,s3_x_s4,-4.32479525706943
0.0011689518164985776,age,2.584482021112052
0.0011689518164985776,sex,-11.947300679444114
0.0011689518164985776,bmi,24.464169869933503
0.0011689518164985776,bp,15.655156753428265
0.0011689518164985776,s1,-10.647041305428017
0.0011689518164985776,s2,-3.216010173359733
0.0011689518164985776,s3,1.3087500463755843
0.0011689518164985776,s4,3.561114090432956
0.0011689518164985776,s5,37.03476945953606
0.0011689518164985776,s6,2.1934855129560917
0.0011689518164985776,bmi_x_bp,6.762075611853852
0.0011689518164985776,bmi_x_s5,1.3712915935976333
0.0011689518164985776,s1_minus_s2,-15.967898996195103
0.0011689518164985776,s3_x_s4,-4.324828043044068
