,count,mean,std,min,25%,50%,75%,max
Order,2344.0,1464.2986348122868,842.9822634187485,1.0,737.75,1466.0,2195.25,2930.0
PID,2344.0,714363167.5213311,188690676.94657934,526301100.0,528482070.0,535454060.0,907192052.5,924152030.0
MS SubClass,2344.0,57.3080204778157,42.802555204792775,20.0,20.0,50.0,70.0,190.0
Lot Frontage,1951.0,69.2075858534085,23.418017693257642,21.0,58.0,68.0,80.0,313.0
Lot Area,2344.0,10127.857508532423,8050.9081315860585,1300.0,7466.5,9356.5,11484.25,215245.0
Overall Qual,2344.0,6.064419795221843,1.3885195724365862,1.0,5.0,6.0,7.0,10.0
Overall Cond,2344.0,5.581911262798635,1.1056586377716158,1.0,5.0,5.0,6.0,9.0
Year Built,2344.0,1970.5068259385666,30.341433709809884,1872.0,1953.0,1972.0,2000.0,2010.0
Year Remod/Add,2344.0,1983.9236348122868,20.786286586191327,1950.0,1965.0,1992.0,2003.0,2010.0
Mas Vnr Area,2325.0,98.53978494623657,172.23911346542272,0.0,0.0,0.0,160.0,1290.0
BsmtFin SF 1,2343.0,442.5313700384123,452.2232240166459,0.0,0.0,375.0,734.0,5644.0
BsmtFin SF 2,2343.0,50.09731113956466,170.39699941461637,0.0,0.0,0.0,0.0,1526.0
Bsmt Unf SF,2343.0,554.3935125906957,433.7883333858069,0.0,218.0,462.0,795.5,2336.0
Total Bsmt SF,2343.0,1047.0221937686727,436.5671168335913,0.0,784.0,988.0,1288.0,6110.0
1st Flr SF,2344.0,1154.8144197952217,385.114269461876,334.0,879.75,1082.0,1378.0,5095.0
2nd Flr SF,2344.0,333.68813993174064,427.1411905726988,0.0,0.0,0.0,701.0,2065.0
Low Qual Fin SF,2344.0,4.3570819112627985,44.32399300764559,0.0,0.0,0.0,0.0,1064.0
Gr Liv Area,2344.0,1492.8596416382252,504.6196755936108,334.0,1121.75,1436.5,1734.0,5642.0
Bsmt Full Bath,2343.0,0.43149807938540335,0.5255046948860608,0.0,0.0,0.0,1.0,3.0
Bsmt Half Bath,2343.0,0.05932565087494665,0.24164407569895519,0.0,0.0,0.0,0.0,2.0
Full Bath,2344.0,1.5571672354948805,0.5521616197346733,0.0,1.0,2.0,2.0,4.0
Half Bath,2344.0,0.37073378839590443,0.4996081853135003,0.0,0.0,0.0,1.0,2.0
Bedroom AbvGr,2344.0,2.845136518771331,0.8203516095298484,0.0,2.0,3.0,3.0,8.0
Kitchen AbvGr,2344.0,1.043088737201365,0.21133887922134542,0.0,1.0,1.0,1.0,3.0
TotRms AbvGrd,2344.0,6.409129692832765,1.563650890639959,2.0,5.0,6.0,7.0,15.0
Fireplaces,2344.0,0.5989761092150171,0.6529873381551253,0.0,0.0,1.0,1.0,4.0
Garage Yr Blt,2222.0,1977.3982898289828,25.679110386971235,1895.0,1960.0,1978.0,2001.0,2207.0
Garage Cars,2343.0,1.7469056764831412,0.7464447662989822,0.0,1.0,2.0,2.0,4.0
Garage Area,2343.0,469.07895860008534,212.43278576589222,0.0,319.0,476.0,576.0,1488.0
Wood Deck SF,2344.0,94.11305460750853,124.85186961842751,0.0,0.0,0.0,168.0,870.0
Open Porch SF,2344.0,47.34172354948805,68.0374645088839,0.0,0.0,26.0,70.0,742.0
Enclosed Porch,2344.0,24.73165529010239,67.03094313263323,0.0,0.0,0.0,0.0,1012.0
3Ssn Porch,2344.0,2.42278156996587,24.524361606192276,0.0,0.0,0.0,0.0,508.0
Screen Porch,2344.0,16.01023890784983,55.82088204694951,0.0,0.0,0.0,0.0,576.0
Pool Area,2344.0,2.582764505119454,38.324144514778006,0.0,0.0,0.0,0.0,800.0
Misc Val,2344.0,58.055034129692835,623.3751214138194,0.0,0.0,0.0,0.0,17000.0
Mo Sold,2344.0,6.184726962457338,2.7084078337898085,1.0,4.0,6.0,8.0,12.0
Yr Sold,2344.0,2007.794795221843,1.3151172158333804,2006.0,2007.0,2008.0,2009.0,2010.0
SalePrice,2344.0,178582.20776450512,77125.07271273079,12789.0,129000.0,160000.0,210000.0,755000.0
