segment_column,segment_value,rows,mae,rmse,mean_actual_price
Neighborhood,Blmngtn,5,20623.90552527217,23779.179665100077,212898.0
Neighborhood,BrDale,6,6224.565915592844,7701.566660065568,106250.0
Neighborhood,BrkSide,24,10763.132013814704,12885.486453013165,126687.5
Neighborhood,ClearCr,9,14152.30980612256,17148.81381932849,201111.11111111112
Neighborhood,CollgCr,56,10287.443971816885,14457.628818484689,205415.32142857142
Neighborhood,Crawfor,14,32820.74943282185,43046.41909414276,248242.85714285713
Neighborhood,Edwards,44,19697.46969905275,63598.890515147265,128452.27272727272
Neighborhood,Gilbert,27,9825.965540853682,12315.36629457743,189412.59259259258
Neighborhood,IDOTRR,20,10755.984595969678,12962.384289959751,105812.5
Neighborhood,MeadowV,9,4363.7304538025965,5267.813964317729,89760.0
Neighborhood,Mitchel,17,16350.230804057532,19722.82513113368,188726.4705882353
Neighborhood,NAmes,76,8868.882419187546,11882.870798996111,142550.13157894736
Neighborhood,NPkVill,8,8503.068002672546,9480.452192569353,141218.75
Neighborhood,NWAmes,22,10645.328694338912,13790.728733130332,199925.0
Neighborhood,NoRidge,14,25386.086635801945,34204.988575803975,328089.28571428574
Neighborhood,NridgHt,45,32335.65858098709,48053.451934797056,346956.86666666664
Neighborhood,OldTown,40,11408.059044844671,15405.307529942362,120188.025
Neighborhood,SWISU,11,7265.888992805206,8030.773338131489,108000.0
Neighborhood,Sawyer,32,10544.859965590338,14368.266139707497,140212.78125
Neighborhood,SawyerW,27,9595.02852085353,10933.835177200783,188249.44444444444
Neighborhood,Somerst,46,13973.290799998911,17397.062651956294,240665.30434782608
Neighborhood,StoneBr,15,22392.705215092097,33000.24498003782,318723.0
Neighborhood,Timber,13,24552.47259704808,31243.615772233414,276115.3846153846
actual_price_quintile,"(43999.999, 126000.0]",124,8942.118004636173,11201.564010009366,101760.82258064517
actual_price_quintile,"(126000.0, 148000.0]",112,9861.613658498016,13984.178033512575,137086.54464285713
actual_price_quintile,"(148000.0, 185900.0]",117,13492.387921116806,39882.668035915034,166448.8205128205
actual_price_quintile,"(185900.0, 246990.0]",116,12598.785268871494,16286.376104274244,214506.2327586207
actual_price_quintile,"(246990.0, 625000.0]",117,27929.530789305427,39938.83571835062,331679.41025641025
