feature,vif
BsmtFin SF 1,inf
Gr Liv Area,inf
Low Qual Fin SF,inf
2nd Flr SF,inf
1st Flr SF,inf
Total Bsmt SF,inf
Bsmt Unf SF,inf
BsmtFin SF 2,inf
Order,78.34443141540592
Yr Sold,76.65224175873972
Garage Cars,5.638839519719604
Garage Area,5.459733011664283
Year Built,4.86005833723834
TotRms AbvGrd,4.491382057115303
PID,3.738140446526277
Garage Yr Blt,3.1956291034773048
Overall Qual,3.082628886240168
Full Bath,2.8486954657850787
Year Remod/Add,2.3679646450534824
Bedroom AbvGr,2.342308807295577
Half Bath,2.211419380452343
Bsmt Full Bath,2.130834229703433
MS SubClass,1.6324092230098624
Lot Frontage,1.616891811451066
Overall Cond,1.5675379782666992
Kitchen AbvGr,1.565453054484353
Fireplaces,1.5472921670769613
Mas Vnr Area,1.435070621941975
Lot Area,1.291227519880836
Enclosed Porch,1.2536406056540663
Wood Deck SF,1.2411700363400398
Open Porch SF,1.204041458928178
Bsmt Half Bath,1.1614499641121512
Pool Area,1.1227159992481097
Screen Porch,1.091310994555083
Misc Val,1.0646808749862073
Mo Sold,1.0522317104406438
3Ssn Porch,1.0170284641690281
