feature,importance,coefficient
num__rm_lstat_interact,0.39567621254752966,
num__RM,0.288635794793558,
num__DIS,0.06243439838216383,
num__log_LSTAT,0.05725013461555246,
num__LSTAT,0.04125818755030407,
num__rooms_per_tax,0.03978877811871716,
num__PTRATIO,0.03336562601521311,
num__NOX,0.024392380593469935,
num__crime_per_room,0.01414144585035522,
num__log_CRIM,0.012619738917054863,
num__B,0.01062187703037688,
num__TAX,0.01041438566407352,
num__CRIM,0.005674008793071105,
num__INDUS,0.003727031128560415,
