,count,mean,std,min,25%,50%,75%,max
CRIM,404.0,3.6091246287128715,8.875058224913126,0.00906,0.0814375,0.26139,3.2029625,88.9762
ZN,404.0,11.569306930693068,23.152480822861172,0.0,0.0,0.0,20.0,100.0
INDUS,404.0,10.985049504950496,6.89461758261083,0.74,5.13,8.56,18.1,27.74
NOX,404.0,0.5564841584158416,0.11770447451827175,0.385,0.452,0.538,0.631,0.871
RM,404.0,6.315891089108911,0.7094517563306172,3.863,5.8905,6.21,6.63675,8.78
AGE,404.0,68.55643564356437,27.994922140912426,2.9,45.55,77.7,93.64999999999999,100.0
DIS,404.0,3.8081950495049504,2.1312264279567033,1.1296,2.087875,3.17575,5.400799999999999,12.1265
TAX,404.0,404.0321782178218,166.17265514913421,187.0,279.0,330.0,666.0,711.0
PTRATIO,404.0,18.318316831683166,2.228700928767628,12.6,16.8,18.7,20.2,22.0
B,404.0,356.27834158415845,91.56653276201261,0.32,375.47249999999997,391.30499999999995,395.755,396.9
LSTAT,404.0,12.457351485148516,7.110381022008366,1.73,6.7725,10.925,16.372500000000002,37.97
MEDV,404.0,22.796534653465343,9.332147158711562,5.0,16.95,21.6,26.4,50.0
