Longitude,Latitude,HouseAge,AveRooms,AveBedrms,Population,AveOccup,MedInc,ocean_proximity,actual,predicted,residual,abs_error,pct_error,severity
-119.01,36.06,25.0,1505.0,,1392.0,359.0,1.6812,,47700.0,342007.0735656334,-294307.0735656334,294307.0735656334,6.169959613535291,severe
-119.46,35.14,30.0,2943.0,,1565.0,584.0,2.5313,,45800.0,368165.19668039226,-322365.19668039226,322365.19668039226,7.038541412235639,severe
-122.44,37.8,52.0,3830.0,,1310.0,963.0,3.4801,,500001.0,679397.646676232,-179396.646676232,179396.646676232,0.35879257576731244,severe
-118.72,34.28,17.0,3051.0,,1705.0,495.0,5.7376,,218600.0,298132.42535489326,-79532.42535489326,79532.42535489326,0.363826282501799,high
-121.93,36.62,34.0,2351.0,,1063.0,428.0,3.725,,278000.0,468823.2919889977,-190823.29198899772,190823.29198899772,0.6864147193848839,severe
-117.61,34.08,12.0,4427.0,,2400.0,843.0,4.7147,,158700.0,295529.0829239407,-136829.08292394067,136829.08292394067,0.8621870379580383,high
-118.02,33.89,36.0,1375.0,,670.0,221.0,5.0839,,198200.0,307216.8019311437,-109016.80193114368,109016.80193114368,0.5500343185224201,high
-118.08,33.92,38.0,1335.0,,1011.0,269.0,3.6908,,157500.0,399532.519831317,-242032.519831317,242032.519831317,1.5367144116274096,severe
-120.37,38.01,30.0,473.0,,242.0,93.0,2.5417,,123200.0,367821.0497095787,-244621.04970957868,244621.04970957868,1.9855604684219048,severe
-118.12,34.08,35.0,2248.0,,1762.0,622.0,3.0,,253900.0,459945.16801277397,-206045.16801277397,206045.16801277397,0.811520945304348,severe
-117.91,33.76,20.0,4413.0,,4818.0,1063.0,2.8594,,215100.0,476897.96233910794,-261797.96233910794,261797.96233910794,1.2170988486243977,severe
-119.19,34.2,18.0,3620.0,,3171.0,779.0,3.3409,,220500.0,421237.2919939987,-200737.2919939987,200737.2919939987,0.9103732063219895,severe
-117.98,33.92,27.0,3700.0,,1793.0,552.0,5.3668,,219800.0,306465.5052675319,-86665.5052675319,86665.5052675319,0.39429256263663287,high
-117.91,34.02,22.0,6269.0,,5587.0,1251.0,3.8201,,136200.0,419728.4900280325,-283528.4900280325,283528.4900280325,2.0817069752425295,severe
-122.1,37.69,41.0,746.0,,387.0,161.0,3.9063,,178400.0,372913.75136947876,-194513.75136947876,194513.75136947876,1.0903237184387824,severe
-121.02,37.48,26.0,467.0,,244.0,83.0,4.1346,,187500.0,288503.56076452497,-101003.56076452497,101003.56076452497,0.5386856574107999,high
-117.05,32.75,36.0,2024.0,,1030.0,390.0,3.8233,,139800.0,368848.1973412744,-229048.1973412744,229048.1973412744,1.6383991226128356,severe
-120.97,37.43,27.0,1380.0,,810.0,262.0,2.1875,,137500.0,367787.1540206671,-230287.15402066708,230287.15402066708,1.6748156656048514,severe
-118.37,34.07,50.0,2519.0,,1117.0,516.0,4.3667,,405600.0,497497.88850410905,-91897.88850410905,91897.88850410905,0.22657270341249766,high
-117.14,32.9,16.0,3217.0,,2054.0,687.0,4.2234,,162100.0,299865.4791379991,-137765.47913799912,137765.47913799912,0.84987957518815,high
-119.38,36.53,38.0,1281.0,,1423.0,293.0,1.9602,,51400.0,338884.5060341397,-287484.5060341397,287484.5060341397,5.593083774983263,severe
-118.36,33.96,26.0,3543.0,,2742.0,951.0,2.5504,,151300.0,513269.35174430883,-361969.35174430883,361969.35174430883,2.3923949223021075,severe
-124.13,40.55,38.0,544.0,,240.0,91.0,3.25,,94800.0,301117.9920187466,-206317.99201874662,206317.99201874662,2.1763501267800276,severe
-121.98,37.96,22.0,2987.0,,1420.0,540.0,3.65,,204100.0,357027.7777618022,-152927.7777618022,152927.7777618022,0.749278675951995,severe
-122.17,37.75,38.0,992.0,,732.0,259.0,1.6196,,85100.0,484304.7221572617,-399204.7221572617,399204.7221572617,4.691007310896142,severe
-118.31,34.03,47.0,1315.0,,785.0,245.0,1.23,,138400.0,469136.30388016405,-330736.30388016405,330736.30388016405,2.3897131783248846,severe
-117.23,32.75,5.0,1824.0,,892.0,426.0,3.4286,,137500.0,386949.97059295245,-249449.97059295245,249449.97059295245,1.8141816043123815,severe
-122.5,37.75,44.0,1819.0,,1137.0,354.0,3.4919,,271800.0,523146.9239489485,-251346.9239489485,251346.9239489485,0.9247495362360136,severe
-122.39,37.6,34.0,707.0,,381.0,156.0,4.375,,340900.0,421115.5559290059,-80215.5559290059,80215.5559290059,0.23530523886478705,high
-117.96,34.03,35.0,2093.0,,1755.0,403.0,3.4115,,150400.0,436477.5162699146,-286077.5162699146,286077.5162699146,1.9021111454116661,severe
-121.13,38.87,48.0,1127.0,,530.0,186.0,3.0917,,128100.0,323745.3655249243,-195645.3655249243,195645.3655249243,1.5272862257995652,severe
-118.17,33.98,41.0,756.0,,873.0,212.0,2.7321,,156000.0,459107.8314700666,-303107.8314700666,303107.8314700666,1.9429989196799142,severe
-119.45,36.61,24.0,1302.0,,693.0,243.0,3.7917,,90500.0,274935.3189516979,-184435.3189516979,184435.3189516979,2.037959325433126,severe
-120.85,37.78,25.0,421.0,,303.0,106.0,2.2679,,71300.0,385343.25548752106,-314043.25548752106,314043.25548752106,4.40453373755289,severe
-117.98,33.73,18.0,3833.0,,2192.0,996.0,3.4679,,219700.0,461357.2216164291,-241657.2216164291,241657.2216164291,1.0999418371253031,severe
-117.65,34.04,15.0,3393.0,,2039.0,611.0,3.9336,,151000.0,422882.1520175797,-271882.1520175797,271882.1520175797,1.8005440530965544,severe
-118.43,34.2,28.0,3386.0,,2240.0,737.0,3.0221,,290100.0,470424.7686352166,-180324.76863521658,180324.76863521658,0.6215952038442488,severe
-117.03,32.73,34.0,2061.0,,1169.0,400.0,3.5096,,142000.0,356667.6112863056,-214667.6112863056,214667.6112863056,1.5117437414528563,severe
-117.09,32.77,31.0,3062.0,,1263.0,539.0,3.0875,,291500.0,382025.2668538523,-90525.26685385231,90525.26685385231,0.31054980052779524,high
-118.3,33.73,42.0,1731.0,,866.0,403.0,2.7451,,255400.0,524085.15313900483,-268685.15313900483,268685.15313900483,1.0520170443970431,severe
-124.06,40.86,34.0,4183.0,,1891.0,669.0,3.2216,,98100.0,298875.35242076794,-200775.35242076794,200775.35242076794,2.0466396780914162,severe
-118.28,34.25,29.0,2559.0,,1886.0,769.0,2.6036,,162100.0,531341.9587703802,-369241.95877038024,369241.95877038024,2.2778652607673058,severe
-116.95,32.84,31.0,1307.0,,752.0,231.0,3.4286,,129400.0,384644.4786986343,-255244.4786986343,255244.4786986343,1.9725230193093841,severe
