group_col,group_val,n,mean_actual,rmse,r2,rmse_gap,alert
Neighborhood,BrkSide,8,140375.0,10499.0,0.852,-27694.0,False
Neighborhood,CollgCr,27,201443.0,18170.0,0.882,-20023.0,False
Neighborhood,Crawfor,16,217784.0,21098.0,0.9022,-17095.0,False
Neighborhood,Edwards,14,133437.0,73331.0,-1.1859,35139.0,True
Neighborhood,Gilbert,9,178159.0,7729.0,0.8222,-30464.0,False
Neighborhood,IDOTRR,9,88988.0,18748.0,0.5989,-19445.0,False
Neighborhood,Mitchel,10,158120.0,22645.0,0.6639,-15548.0,False
Neighborhood,NAmes,54,144637.0,13649.0,0.7385,-24543.0,False
Neighborhood,NWAmes,12,173525.0,8706.0,0.4314,-29486.0,False
Neighborhood,NoRidge,15,368621.0,112734.0,0.5832,74541.0,True
Neighborhood,NridgHt,12,326890.0,58819.0,0.7555,20627.0,True
Neighborhood,OldTown,22,137091.0,34395.0,0.8507,-3798.0,False
Neighborhood,Sawyer,13,136558.0,10264.0,0.7261,-27929.0,False
Neighborhood,SawyerW,13,209008.0,24269.0,0.7983,-13923.0,False
Neighborhood,Somerst,19,220338.0,18805.0,0.8664,-19388.0,False
Neighborhood,StoneBr,9,315335.0,57291.0,0.7219,19098.0,True
BldgType,1Fam,246,194226.0,41133.0,0.8286,2941.0,False
BldgType,Duplex,8,122682.0,17878.0,0.077,-20314.0,False
BldgType,Twnhs,14,140457.0,11463.0,0.9298,-26730.0,False
BldgType,TwnhsE,18,172480.0,11064.0,0.9693,-27129.0,False
HouseStyle,1.5Fin,32,141985.0,16990.0,0.8984,-21202.0,False
HouseStyle,1Story,135,171860.0,16271.0,0.9409,-21921.0,False
HouseStyle,2Story,93,229476.0,61512.0,0.7636,23320.0,True
HouseStyle,SLvl,17,176278.0,22467.0,0.7283,-15725.0,False
