,missing_count,missing_rate,dtype
PoolQC,1164.0,0.9965753424657534,object
MiscFeature,1125.0,0.9631849315068494,object
Alley,1099.0,0.9409246575342466,object
Fence,951.0,0.8142123287671232,object
FireplaceQu,551.0,0.4717465753424658,object
LotFrontage,217.0,0.1857876712328767,float64
GarageYrBlt,66.0,0.05650684931506849,float64
GarageCond,66.0,0.05650684931506849,object
GarageType,66.0,0.05650684931506849,object
GarageFinish,66.0,0.05650684931506849,object
GarageQual,66.0,0.05650684931506849,object
BsmtExposure,33.0,0.028253424657534245,object
BsmtFinType2,33.0,0.028253424657534245,object
BsmtCond,32.0,0.0273972602739726,object
BsmtQual,32.0,0.0273972602739726,object
BsmtFinType1,32.0,0.0273972602739726,object
MasVnrArea,7.0,0.0059931506849315065,float64
MasVnrType,7.0,0.0059931506849315065,object
Electrical,1.0,0.0008561643835616438,object
MSSubClass,0.0,0.0,int64
Fireplaces,0.0,0.0,int64
Functional,0.0,0.0,object
KitchenQual,0.0,0.0,object
KitchenAbvGr,0.0,0.0,int64
BedroomAbvGr,0.0,0.0,int64
HalfBath,0.0,0.0,int64
FullBath,0.0,0.0,int64
BsmtHalfBath,0.0,0.0,int64
TotRmsAbvGrd,0.0,0.0,int64
GarageCars,0.0,0.0,int64
GrLivArea,0.0,0.0,int64
GarageArea,0.0,0.0,int64
PavedDrive,0.0,0.0,object
WoodDeckSF,0.0,0.0,int64
OpenPorchSF,0.0,0.0,int64
EnclosedPorch,0.0,0.0,int64
3SsnPorch,0.0,0.0,int64
ScreenPorch,0.0,0.0,int64
PoolArea,0.0,0.0,int64
MiscVal,0.0,0.0,int64
MoSold,0.0,0.0,int64
YrSold,0.0,0.0,int64
SaleType,0.0,0.0,object
SaleCondition,0.0,0.0,object
BsmtFullBath,0.0,0.0,int64
CentralAir,0.0,0.0,object
LowQualFinSF,0.0,0.0,int64
Neighborhood,0.0,0.0,object
OverallCond,0.0,0.0,int64
OverallQual,0.0,0.0,int64
HouseStyle,0.0,0.0,object
BldgType,0.0,0.0,object
Condition2,0.0,0.0,object
Condition1,0.0,0.0,object
LandSlope,0.0,0.0,object
2ndFlrSF,0.0,0.0,int64
LotConfig,0.0,0.0,object
Utilities,0.0,0.0,object
LandContour,0.0,0.0,object
LotShape,0.0,0.0,object
Street,0.0,0.0,object
LotArea,0.0,0.0,int64
YearBuilt,0.0,0.0,int64
YearRemodAdd,0.0,0.0,int64
RoofStyle,0.0,0.0,object
RoofMatl,0.0,0.0,object
Exterior1st,0.0,0.0,object
Exterior2nd,0.0,0.0,object
ExterQual,0.0,0.0,object
ExterCond,0.0,0.0,object
Foundation,0.0,0.0,object
BsmtFinSF1,0.0,0.0,int64
BsmtFinSF2,0.0,0.0,int64
BsmtUnfSF,0.0,0.0,int64
TotalBsmtSF,0.0,0.0,int64
Heating,0.0,0.0,object
HeatingQC,0.0,0.0,object
MSZoning,0.0,0.0,object
1stFlrSF,0.0,0.0,int64
SalePrice,0.0,0.0,float64
