feature,mean_abs_shap
Qual_x_Area,0.09890263567367447
TotalSF,0.06927118442617192
Qual_x_Year,0.06420150292205123
LotArea,0.02476408931413513
YearRemodAdd,0.022210168979772817
OverallCond,0.020821902921691095
KitchenQual_ord,0.019651212044962587
BsmtFinSF1,0.018325453254589126
TotalBaths,0.0176546371728601
GarageCars,0.014246244036992397
FireplaceQu_ord,0.013835426933740414
TotalPorchSF,0.008026838473773293
AgeAtSale,0.007403648240017556
Condition1_Norm,0.0070580527011369805
YearBuilt,0.006774899216837506
HeatingQC_ord,0.006240799416044371
BsmtUnfSF,0.006022511218229568
TotalBsmtSF,0.00552556888864554
MoSold,0.004895591576987528
GarageArea,0.0048162741331548254
BsmtQual_ord,0.004574330221692868
Neighborhood_Crawfor,0.004489741581353691
OpenPorchSF,0.004401055381283252
MSZoning_RM,0.0043421541527088915
Functional_Typ,0.0038079645315990305
Exterior1st_BrkFace,0.0036240183520443187
SaleCondition_Abnorml,0.003566168495177511
GarageYrBlt,0.003407051931986611
Fireplaces,0.0032763187067024174
1stFlrSF,0.003110487930245318
Neighborhood_Edwards,0.0029677889456808473
GrLivArea,0.002938859185654157
MSZoning_RL,0.0029212389781218895
MSZoning_'C (all)',0.0024988204221489106
LotConfig_CulDSac,0.0024233187215707305
MasVnrArea,0.0021764553154797134
2ndFlrSF,0.0021344826416383896
GarageFinish_Unf,0.0020654923971625177
CentralAir_Y,0.0020010210103898617
SaleCondition_Family,0.0018428183440461327
GrLivArea_sq,0.0015843887329923193
YrSold,0.0015725329560609441
CentralAir_N,0.001552639856161918
LotFrontage,0.001315345807650627
GarageCond_ord,0.0012925911281555734
PavedDrive_Y,0.0012669226646313343
Neighborhood_OldTown,0.0012091067392688696
EnclosedPorch,0.0011632357306871383
Exterior1st_'Wd Sdng',0.0011524228065097595
ExterQual_ord,0.0011464500792303328
GarageQual_ord,0.0011088202689423369
Neighborhood_Somerst,0.00100654800265751
ExterCond_ord,0.000943385306049143
WoodDeckSF,0.0009351866160680059
HouseStyle_1Story,0.000775510474260808
OverallQual,0.0007007120934833675
HalfBath,0.0006317718067107422
BsmtFinSF2,0.0006050929455116836
BedroomAbvGr,0.0005582509249123046
LotConfig_Inside,0.0003810484122564806
TotRmsAbvGrd,0.0003615663251434386
SaleCondition_Normal,0.00034768995284653197
Functional_infrequent_sklearn,0.00034249927607387477
BsmtCond_ord,0.0003246488008308088
BldgType_1Fam,0.0003239659476846633
Fence_ord,0.00029233551540930693
Has2ndFloor,0.00025881503767916997
Foundation_BrkTil,0.00020188995481424152
GarageFinish_RFn,0.00019646828521262567
BsmtFullBath,0.0001902876277561231
GarageType_Detchd,0.00016266395784072187
SaleType_WD,0.00015695380410650007
Exterior2nd_'Brk Cmn',0.0001450739825074861
LandContour_Lvl,0.00014491475797509976
Foundation_CBlock,0.00013671505795629166
FullBath,0.00013563946526497147
Alley_None,0.00012875220215352435
GarageType_Attchd,0.00012063801977854284
RoofStyle_Gable,0.0001092939468681712
LandSlope_Gtl,0.00010653447352375057
HouseStyle_2Story,0.00010473631513318953
HouseStyle_1.5Fin,0.00010119608962329076
RoofStyle_Hip,9.711398974808299e-05
Exterior1st_VinylSd,9.613041188563972e-05
Neighborhood_NAmes,8.829398598567381e-05
MasVnrType_None,4.7295247576777296e-05
PavedDrive_N,3.964795514790319e-05
GarageFinish_Fin,3.559150852326061e-05
Exterior2nd_BrkFace,1.257232780742956e-06
Foundation_PConc,0.0
Exterior2nd_VinylSd,0.0
Neighborhood_ClearCr,0.0
HighQuality,0.0
