lread,lwrite,scall,sread,swrite,fork,exec,rchar,wchar,pgout,ppgout,pgfree,pgscan,atch,pgin,ppgin,pflt,vflt,runqsz,freemem,freeswap,actual,predicted,residual,abs_error,severity
14.0,0.0,806.0,101.0,60.0,0.4,0.4,175267.0,8453.0,3.39,18.56,47.7,91.42,0.6,9.58,27.15,23.15,99.2,2.4,137.0,1735008.0,84.0,90.22126485432457,-6.221264854324573,6.221264854324573,severe
19.0,9.0,3744.0,393.0,329.0,6.8,4.4,209666.0,21515.0,1.0,4.8,17.0,37.2,0.6,6.2,6.2,356.4,572.2,1.3,235.0,1073950.0,80.0,75.60321553303586,4.396784466964135,4.396784466964135,high
21.0,14.0,4043.0,483.0,428.0,6.0,1.6,200212.0,31160.0,0.6,0.6,0.6,0.0,0.0,0.2,0.2,290.2,432.4,1.0,235.0,1074389.0,80.0,76.53631856371747,3.4636814362825277,3.4636814362825277,high
2.0,1.0,1506.0,104.0,78.0,0.8,1.0,225983.0,151123.0,0.0,0.0,0.0,0.0,0.0,22.8,42.6,78.0,77.0,2.2,949.0,1714792.0,85.0,89.08631294968032,-4.08631294968032,4.08631294968032,high
6.0,0.0,894.0,89.0,57.0,1.6,1.8,85340.0,31182.0,0.0,0.0,0.0,0.0,0.0,2.6,3.0,77.4,167.2,1.0,560.0,1036755.0,94.0,91.33499553140432,2.665004468595683,2.665004468595683,high
58.0,69.0,2937.0,141.0,128.0,9.18,25.55,68989.0,32723.0,0.8,0.8,7.78,18.56,0.0,3.59,3.79,332.14,578.64,1.0,150.0,1079478.0,69.0,72.30894937769199,-3.308949377691988,3.308949377691988,high
4.0,1.0,3028.0,204.0,158.0,1.6,0.6,303218.0,17160.0,5.2,5.4,5.4,0.0,2.6,0.0,0.0,82.8,126.0,2.8,161.0,1709837.0,92.0,88.00659262337992,3.993407376620084,3.993407376620084,high
32.0,35.0,2958.0,294.0,230.0,4.8,1.4,219581.0,27185.0,2.6,6.6,10.6,10.4,0.6,1.2,1.8,232.6,340.4,3.2,158.0,1752144.0,76.0,82.32705288690708,-6.327052886907083,6.327052886907083,severe
20.0,13.0,3304.0,369.0,137.0,3.81,5.41,751052.0,214921.0,8.42,23.25,55.71,78.96,10.22,29.46,31.46,209.02,563.13,2.0,194.0,1008276.0,79.0,74.51299235088061,4.487007649119391,4.487007649119391,high
2.0,0.0,667.0,131.0,141.0,1.4,4.8,2185.0,12395.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.8,79.2,1.0,7617.0,1879974.0,95.0,92.08989899990473,2.910101000095267,2.910101000095267,high
5.0,0.0,2576.0,340.0,209.0,3.0,1.4,453313.0,22792.0,0.0,0.0,0.0,0.0,0.0,15.2,28.2,161.2,251.2,3.2,2440.0,1763877.0,81.0,83.95735499975926,-2.9573549997592607,2.9573549997592607,high
3.0,0.0,1285.0,128.0,57.0,2.4,2.4,259420.0,139590.0,0.0,0.0,0.0,0.0,0.0,2.2,4.4,97.4,153.6,3.6,1979.0,1764050.0,93.0,89.99855829997702,3.00144170002298,3.00144170002298,high
13.0,4.0,2682.0,229.0,241.0,1.2,2.6,203604.0,428823.0,6.8,13.0,14.6,10.0,1.2,21.6,36.2,85.6,171.0,3.4,355.0,1374622.0,82.0,85.83162853955379,-3.8316285395537903,3.8316285395537903,high
