,missing_count,missing_rate,dtype
lread,0.0,0.0,float64
lwrite,0.0,0.0,float64
freeswap,0.0,0.0,float64
freemem,0.0,0.0,float64
runqsz,0.0,0.0,float64
vflt,0.0,0.0,float64
pflt,0.0,0.0,float64
ppgin,0.0,0.0,float64
pgin,0.0,0.0,float64
atch,0.0,0.0,float64
pgscan,0.0,0.0,float64
pgfree,0.0,0.0,float64
ppgout,0.0,0.0,float64
pgout,0.0,0.0,float64
wchar,0.0,0.0,float64
rchar,0.0,0.0,float64
exec,0.0,0.0,float64
fork,0.0,0.0,float64
swrite,0.0,0.0,float64
sread,0.0,0.0,float64
scall,0.0,0.0,float64
usr,0.0,0.0,float64
