feature,skew,kurtosis
atch,21.164763670829956,636.6379499622308
lread,13.170761810183985,289.1238001403107
runqsz,11.759494168879634,176.20383813424093
swrite,10.391037035042821,254.0687075527729
sread,5.923392623453062,98.5870088020069
pgscan,5.251155589593607,36.584485760943515
lwrite,5.226284007447768,50.439118099103304
pgout,5.147777645093881,42.230326515664935
ppgout,4.688076495418158,30.259227497041014
pgfree,4.443248199684523,25.63154191821591
exec,4.038673348697349,18.987192818918746
ppgin,3.96161352817237,23.754792374186554
wchar,3.8927393241009294,22.443642890436664
pgin,3.2536479147789654,13.84875778744445
rchar,2.9254358661083644,13.90643204968386
fork,2.268848322441587,5.539246807683732
freemem,1.8255902454963202,2.3022655410040316
vflt,1.7421610819111497,3.299822869276275
pflt,1.7310999531646118,3.2391001675526643
scall,0.936926547394463,1.0778880057647338
freeswap,-0.8009321517913,1.1842630823015452
